location,bhk,total_sqft,bath,price,sqft_per_bedroom
Baba Nagar,3,1200.0,3.0,96.25,400.0
Uttarahalli,3,1345.0,2.0,47.0,448.3333333333333
Kaikondrahalli,2,849.0,2.0,25.4,424.5
Kanakpura Road,3,1706.0,3.0,135.0,568.6666666666666
Yelahanka,4,2100.0,4.0,180.0,525.0
Nagadevanahalli,3,1250.0,2.0,65.0,416.6666666666667
Kanakpura Road,3,1260.0,3.0,63.58,420.0
Horamavu Agara,3,1265.0,2.0,65.0,421.6666666666667
Abbigere,3,1260.0,2.0,45.0,420.0
Jalahalli,2,1045.0,2.0,58.0,522.5
Hebbal Kempapura,4,3895.0,4.0,495.0,973.75
 Rachenahalli,1,412.5,1.0,19.8,412.5
Bellandur,2,1100.0,2.0,62.0,550.0
Kudlu Gate,2,1113.0,2.0,50.0,556.5
Old Airport Road,4,2774.0,4.0,208.0,693.5
Varthur,2,1210.0,2.0,60.0,605.0
Kogilu,1,700.0,1.0,30.84,700.0
Kanakpura Road,2,1155.0,2.0,55.5,577.5
Hoodi,2,1132.0,2.0,89.0,566.0
Hennur Road,2,1359.0,2.0,104.0,679.5
Byatarayanapura,4,2631.0,3.0,200.0,657.75
Kothanur,2,1145.0,2.0,56.0,572.5
5th Phase JP Nagar,1,600.0,1.0,30.0,600.0
Laggere,1,1200.0,1.0,125.0,1200.0
Mahalakshmi Puram,2,830.0,2.0,60.0,415.0
HSR Layout,2,1009.0,2.0,56.0,504.5
Basavangudi,3,1800.0,3.0,195.0,600.0
Yelahanka,2,1226.0,2.0,52.71,613.0
Badrappa Layout,2,1500.0,2.0,88.0,750.0
Electronic City,2,1363.0,2.0,79.0,681.5
Poorna Pragna Layout,3,1400.0,2.0,240.0,466.6666666666667
Bommasandra Industrial Area,2,1165.0,2.0,33.64,582.5
HSR Layout,4,2792.0,4.0,220.0,698.0
Kammanahalli,1,700.0,1.0,59.0,700.0
Kaval Byrasandra,2,1060.0,2.0,42.0,530.0
Marathahalli,2,1200.0,2.0,67.0,600.0
"Off Sarjapur Road, ",3,1518.0,3.0,76.0,506.0
Nagappa Reddy Layout,3,1495.0,2.0,75.0,498.3333333333333
Sanjay nagar,2,1575.0,2.0,90.0,787.5
Rajaji Nagar,2,1440.0,2.0,170.0,720.0
Kasavanhalli,3,1545.0,3.0,69.0,515.0
Kengeri,3,1470.0,3.0,50.0,490.0
Cooke Town,3,1500.0,3.0,95.0,500.0
BTM Layout,3,1450.0,2.0,81.0,483.3333333333333
Hosur Road,2,1179.0,2.0,49.0,589.5
7th Phase JP Nagar,3,1650.0,3.0,110.0,550.0
Chandapura,3,1095.0,2.0,32.0,365.0
Lal Bahadur Shastri Nagar,2,856.0,2.0,48.0,428.0
Naganathapura,2,1143.0,2.0,62.0,571.5
Hebbal,2,1349.0,2.0,97.8,674.5
Anjanapura,3,1280.0,2.0,45.0,426.6666666666667
Malleshwaram,1,480.0,1.0,60.0,480.0
Whitefield,2,1216.0,2.0,69.06,608.0
Doddakallasandra,3,2493.0,3.0,115.0,831.0
Malleshwaram,2,1290.0,2.0,120.0,645.0
Banjara Layout,5,1200.0,5.0,96.0,240.0
Electronic City,2,1156.0,2.0,42.0,578.0
Thanisandra,2,1230.0,2.0,44.0,615.0
Volagerekallahalli,2,1070.0,2.0,33.15,535.0
Ramagondanahalli,2,1235.0,2.0,49.3,617.5
6th block Koramangala,2,1117.0,2.0,110.0,558.5
Kundalahalli,3,1724.0,3.0,124.0,574.6666666666666
Jalahalli,4,1200.0,4.0,90.0,300.0
Venkatadri Layout,1,600.0,1.0,43.0,600.0
KR Puram,3,1930.0,2.0,57.9,643.3333333333334
Whitefield,2,1216.0,2.0,75.0,608.0
KR Puram,3,1452.0,3.0,60.0,484.0
Whitefield,2,1355.0,2.0,78.0,677.5
HMT Layout,4,7500.0,4.0,425.0,1875.0
Sarjapur  Road,3,2145.0,3.0,190.0,715.0
Bommanahalli,2,957.0,2.0,53.0,478.5
Shantiniketan Layout,2,925.0,2.0,48.0,462.5
Bellandur,2,1550.0,2.0,59.0,775.0
Yelahanka New Town,4,4000.0,2.0,899.0,1000.0
Kanakpura Road,3,2100.0,3.0,140.0,700.0
Bannerghatta Road,2,1115.0,2.0,61.0,557.5
Yelahanka,3,1692.0,3.0,83.0,564.0
Baba Nagar,2,1100.0,2.0,52.0,550.0
Hormavu,3,1385.0,2.0,69.0,461.6666666666667
Hosa Road,1,760.0,1.0,24.9,760.0
Electronics City Phase 1,2,1335.0,2.0,67.0,667.5
Bommanahalli,2,910.0,2.0,45.0,455.0
Kanakpura Road,3,1610.0,2.0,55.0,536.6666666666666
Hennur Road,2,1341.0,2.0,75.76,670.5
Kurubarahalli,3,1200.0,3.0,70.0,400.0
Uttarahalli,3,1285.0,2.0,44.98,428.3333333333333
HAL 2nd Stage,3,2100.0,3.0,252.0,700.0
Yeshwanthpur,3,1679.0,3.0,92.13,559.6666666666666
Puttappa Layout,4,2675.0,4.0,290.0,668.75
"Ananthanagar Phase 1,Electronic City , phase 2",2,1016.0,2.0,45.9,508.0
Banashankari Stage II,4,1500.0,2.0,650.0,375.0
Palace Guttahalli,3,660.0,2.0,100.0,220.0
Rajaji Nagar,3,2448.0,3.0,400.0,816.0
Bellandur,2,924.0,2.0,35.11,462.0
8th Phase JP Nagar,1,500.0,1.0,31.0,500.0
Ngef Layout,3,1800.0,3.0,88.0,600.0
Whitefield,2,1255.0,2.0,77.0,627.5
Hennur Road,2,1040.0,2.0,50.0,520.0
Kattigenahalli,2,1062.0,2.0,47.0,531.0
Varthur Road,2,805.5,2.0,19.33,402.75
Hosur Road,2,950.0,2.0,60.0,475.0
Whitefield,2,1216.0,2.0,73.0,608.0
HSR Layout,2,1300.0,2.0,98.0,650.0
5th Phase JP Nagar,2,1390.0,2.0,65.0,695.0
Yelahanka,2,1033.0,2.0,52.58,516.5
Yelahanka,2,1390.0,2.0,65.31,695.0
Jalahalli,2,1020.0,2.0,52.0,510.0
Whitefield,1,709.0,1.0,34.735,709.0
Whitefield,2,1140.0,2.0,45.0,570.0
Yeshwanthpur,1,670.0,1.0,36.85,670.0
Bhoganhalli,4,2171.0,4.0,111.0,542.75
Bannerghatta Road,2,1136.0,2.0,48.0,568.0
Doddakannelli,3,1477.0,2.0,80.0,492.3333333333333
KR Puram,2,1001.0,2.0,30.0,500.5
Yelahanka,2,1040.0,2.0,48.86,520.0
Garudachar Palya,2,1060.0,2.0,48.5,530.0
Sarjapur,2,1240.0,2.0,44.3,620.0
Byadarahalli,4,3500.0,5.0,450.0,875.0
Doddabommasandra,9,42000.0,8.0,175.0,4666.666666666667
Varthur,2,1070.0,2.0,46.0,535.0
Electronic City Phase II,2,1253.0,2.0,65.8,626.5
Whitefield,2,1190.0,2.0,60.0,595.0
Whitefield,2,1312.0,2.0,55.0,656.0
KR Puram,2,750.0,2.0,40.0,375.0
Koramangala,3,1615.0,3.0,115.0,538.3333333333334
Marathahalli,2,1095.0,2.0,60.0,547.5
Whitefield,3,1745.0,3.0,100.0,581.6666666666666
Rachenahalli,2,1050.0,2.0,52.5,525.0
4th T block Jayanagar,4,2080.0,4.0,440.0,520.0
Thanisandra,2,1220.0,2.0,44.6,610.0
Kempegowda Nagar,3,1793.0,3.0,98.0,597.6666666666666
Uttarahalli,2,1100.0,1.0,45.0,550.0
Yelahanka New Town,2,1385.0,2.0,65.0,692.5
Begur Road,2,1200.0,2.0,45.0,600.0
Haralur Road,3,2017.0,2.0,125.0,672.3333333333334
Attibele,1,400.0,1.0,10.0,400.0
Bellandur,3,1400.0,2.0,44.81,466.6666666666667
Bethel Nagar,2,960.0,2.0,33.0,480.0
Uttarahalli,2,1125.0,2.0,47.0,562.5
Akshaya Nagar,3,1551.0,2.0,60.0,517.0
BTM Layout,4,600.0,4.0,122.0,150.0
Vittasandra,2,1246.0,2.0,67.4,623.0
Whitefield,4,3200.0,4.0,224.0,800.0
Marathahalli,2,1060.0,2.0,48.0,530.0
Bharathi Nagar,2,1384.0,2.0,59.0,692.0
Byagadadhenahalli,2,620.0,2.0,23.0,310.0
Bommasandra,2,1005.0,2.0,39.77,502.5
Sarakki Nagar,3,1200.0,3.0,128.0,400.0
Kirloskar Layout,3,1400.0,3.0,35.0,466.6666666666667
HSR Layout,3,2400.0,3.0,88.0,800.0
Whitefield,2,1096.0,2.0,39.0,548.0
Kaggadasapura,2,1180.0,1.0,50.0,590.0
Uttarahalli,3,1300.0,2.0,47.0,433.3333333333333
tc.palya,2,1020.0,2.0,62.0,510.0
Margondanahalli,2,600.0,2.0,35.0,300.0
Dollar Scheme Colony,4,3563.0,6.0,310.0,890.75
Konanakunte Cross,2,1165.0,2.0,47.0,582.5
Bellandur,3,1685.0,3.0,100.0,561.6666666666666
Raja Rajeshwari Nagar,3,1580.0,3.0,53.56,526.6666666666666
Balagere,2,1210.0,2.0,83.0,605.0
Kammasandra,2,1030.0,1.0,25.75,515.0
Nagappa Reddy Layout,2,1100.0,2.0,43.5,550.0
Hebbal,3,1255.0,3.0,77.68,418.3333333333333
Jakkur,3,1482.0,3.0,86.0,494.0
Hebbal,2,1344.0,2.0,108.0,672.0
Kothannur,3,1275.0,2.0,39.8,425.0
Vidyaranyapura,3,462.0,3.0,38.0,154.0
Omarbagh Layout,4,3300.0,5.0,318.0,825.0
Panathur,2,1210.0,2.0,85.0,605.0
Hebbal,3,1320.0,3.0,226.0,440.0
Hosa Road,3,1532.0,3.0,98.13,510.6666666666667
JP Nagar,2,1245.0,2.0,110.0,622.5
Nagarbhavi,2,1212.0,2.0,50.0,606.0
Sarjapur  Road,2,1230.0,2.0,65.0,615.0
Indira Nagar,5,1000.0,5.0,180.0,200.0
Ramagondanahalli,3,2257.0,3.0,159.0,752.3333333333334
Vittasandra,2,1246.0,2.0,65.4,623.0
Gunjur,2,1080.0,2.0,41.0,540.0
Varthur,3,1360.0,2.0,85.0,453.3333333333333
Yelenahalli,2,1260.0,2.0,47.88,630.0
Kengeri Satellite Town,4,1200.0,3.0,110.0,300.0
Thigalarapalya,2,1418.0,2.0,104.0,709.0
anjananager magdi road,3,1200.0,3.0,165.0,400.0
Kasavanhalli,2,950.0,2.0,39.0,475.0
Nagarbhavi,2,1020.0,2.0,55.0,510.0
Electronic City Phase II,3,1400.0,2.0,40.44,466.6666666666667
Kodipalya,4,1440.0,4.0,88.0,360.0
Huskur,6,800.0,6.0,75.0,133.33333333333334
Electronics City Phase 1,2,1175.0,2.0,69.0,587.5
Raja Rajeshwari Nagar,2,1185.0,2.0,40.17,592.5
Aishwarya Crystal Layout,3,2250.0,3.0,113.0,750.0
Sarjapur  Road,2,1178.0,2.0,40.43,589.0
Ulsoor,4,36000.0,4.0,450.0,9000.0
Whitefield,1,825.0,1.0,44.9,825.0
Madiwala,3,1250.0,3.0,43.0,416.6666666666667
Electronics City Phase 1,2,1113.12,2.0,55.0,556.56
2nd Block Jayanagar,3,1718.0,3.0,223.0,572.6666666666666
Gottigere,2,1010.0,2.0,35.0,505.0
Kanakpura Road,2,900.0,2.0,41.0,450.0
Syndicate Bank Colony,4,1500.0,4.0,240.0,375.0
Rayasandra,1,540.0,1.0,16.5,540.0
Electronic City,2,1020.0,2.0,29.46,510.0
Hosur Road,2,1194.0,2.0,71.64,597.0
Vijayanagar,8,1470.0,6.0,300.0,183.75
2nd Stage Nagarbhavi,3,600.0,4.0,100.0,200.0
Electronic City,2,1108.0,2.0,67.15,554.0
Hebbal,4,3895.0,2.0,451.0,973.75
Kanakpura Road,2,700.0,2.0,34.99,350.0
Somasundara Palya,3,1600.0,3.0,68.0,533.3333333333334
Nagarbhavi,3,1850.0,3.0,90.0,616.6666666666666
Tumkur Road,2,1250.0,2.0,33.0,625.0
Ramamurthy Nagar,1,600.0,1.0,43.0,600.0
Raja Rajeshwari Nagar,2,1140.0,2.0,49.27,570.0
CQAL Layout,3,1200.0,2.0,75.0,400.0
Nayandanahalli,2,985.0,2.0,55.0,492.5
Bellandur,2,982.0,2.0,55.0,491.0
9th Phase JP Nagar,1,600.0,1.0,20.0,600.0
Old Madras Road,3,2640.0,5.0,142.0,880.0
Akshaya Nagar,2,1314.0,2.0,68.8,657.0
Vijaya Bank Layout,3,1700.0,2.0,68.5,566.6666666666666
1st Phase JP Nagar,2,1077.0,2.0,93.0,538.5
Varanasi,5,2000.0,4.0,99.0,400.0
DUO Layout,3,1643.0,3.0,75.0,547.6666666666666
Kengeri,3,1200.0,3.0,67.0,400.0
Whitefield,2,1116.0,2.0,51.91,558.0
Abbigere,2,1020.0,2.0,41.82,510.0
Vittasandra,7,621.0,7.0,64.0,88.71428571428571
Daadys Gaarden Layout,3,1740.0,3.0,55.0,580.0
GM Palaya,2,1225.0,2.0,47.0,612.5
Thanisandra,3,1241.0,2.0,61.0,413.6666666666667
Hennur,2,1041.0,2.0,40.6,520.5
Bommanahalli,2,1050.0,2.0,46.0,525.0
Srinivas Colony,3,4400.0,3.0,901.0,1466.6666666666667
Kanakpura Road,2,1309.0,2.0,64.39,654.5
Dodda Nekkundi,2,1128.0,2.0,45.0,564.0
Raja Rajeshwari Nagar,3,1430.0,2.0,50.0,476.6666666666667
Old Madras Road,2,1065.0,2.0,47.86,532.5
OMBR Layout,2,1085.0,2.0,64.0,542.5
Vishveshwarya Layout,1,750.0,1.0,30.0,750.0
Bellandur,2,981.0,2.0,37.28,490.5
Bhoganhalli,4,1548.3,4.0,129.0,387.075
Hebbal Kempapura,4,2302.0,4.0,300.0,575.5
Kalyan nagar,3,1410.0,2.0,60.0,470.0
Hosa Road,3,1525.84,3.0,117.0,508.6133333333333
Begur Road,2,1200.0,2.0,42.6,600.0
Sampangi Rama Nagar,2,1030.0,2.0,80.0,515.0
BTM 1st Stage,3,1852.0,2.0,95.0,617.3333333333334
Electronic City,2,1160.0,2.0,33.5,580.0
Jigani,2,918.0,2.0,49.0,459.0
Hebbal,3,1255.0,2.0,90.0,418.3333333333333
HRBR Layout,6,1200.0,6.0,250.0,200.0
JP Nagar,3,1150.0,2.0,49.9,383.3333333333333
Indira Nagar,3,2700.0,3.0,324.0,900.0
Moodalapalya,2,1150.0,2.0,69.0,575.0
Whitefield,2,1227.0,2.0,53.49,613.5
Hebbal,3,1255.0,3.0,77.68,418.3333333333333
Moodalapalya,6,840.0,8.0,120.0,140.0
Panathur,2,1198.0,2.0,82.0,599.0
 Devarachikkanahalli,3,1200.0,3.0,160.0,400.0
Nelamangala,4,2600.0,3.0,95.0,650.0
Thigalarapalya,3,2072.0,4.0,139.0,690.6666666666666
Pattandur Agrahara,2,797.0,2.0,32.0,398.5
Nayandanahalli,3,1350.0,2.0,68.0,450.0
Sahakara Nagar,4,2500.0,4.0,200.0,625.0
Thigalarapalya,3,2215.0,4.0,160.0,738.3333333333334
Kanakpura Road,1,525.0,1.0,30.0,525.0
Bannerghatta Road,4,2700.0,4.0,260.0,675.0
Gokaula Extension,3,1500.0,2.0,90.0,500.0
Subash Nagar,2,900.0,2.0,55.0,450.0
Poorna Pragna Layout,3,1355.0,2.0,58.27,451.6666666666667
Kudlu Gate,3,1465.0,2.0,49.81,488.3333333333333
Ramamurthy Nagar,2,1006.0,2.0,57.0,503.0
Vishveshwarya Layout,4,2000.0,4.0,75.0,500.0
Electronic City,2,1128.0,2.0,65.7,564.0
Pattanagere,2,850.0,2.0,35.0,425.0
ISRO Layout,3,1310.0,2.0,68.0,436.6666666666667
Banashankari,2,1390.0,2.0,86.0,695.0
Kathriguppe,3,1390.0,2.0,76.45,463.3333333333333
Marathahalli,4,2396.0,4.0,325.0,599.0
Electronic City,2,1170.0,2.0,33.0,585.0
Gottigere,3,1385.0,2.0,50.0,461.6666666666667
Old Madras Road,2,1160.0,2.0,42.0,580.0
Electronic City Phase II,2,1160.0,2.0,33.5,580.0
Bannerghatta Road,3,1200.0,2.0,69.0,400.0
Mahadevpura,2,1475.0,2.0,55.0,737.5
Sarjapur  Road,3,1939.0,3.0,98.0,646.3333333333334
7th Phase JP Nagar,2,850.0,2.0,42.0,425.0
Balagere,1,675.0,1.0,45.0,675.0
Electronic City,2,1060.0,2.0,51.0,530.0
Whitefield,2,1235.0,2.0,47.0,617.5
RTO ullalu,2,600.0,4.0,110.0,300.0
Austin Town,2,1250.0,2.0,60.0,625.0
Banashankari,2,1460.0,2.0,70.0,730.0
Akshaya Nagar,3,1690.0,3.0,85.0,563.3333333333334
Indira Nagar,1,850.0,1.0,57.0,850.0
Kanakpura Road,3,1843.0,3.0,82.0,614.3333333333334
7th Phase JP Nagar,3,1680.0,3.0,117.0,560.0
Kundalahalli,2,1047.0,2.0,84.0,523.5
8th Phase JP Nagar,2,1100.0,2.0,35.0,550.0
Indira Nagar,8,3250.0,8.0,600.0,406.25
Nagarbhavi,2,1120.0,2.0,53.0,560.0
Raja Rajeshwari Nagar,2,1095.0,2.0,38.33,547.5
Carmelaram,2,970.0,2.0,35.0,485.0
Bommanahalli,5,1200.0,7.0,125.0,240.0
Hosa Road,3,1100.0,2.0,85.0,366.6666666666667
Uttarahalli,3,1685.0,3.0,85.0,561.6666666666666
Doddanekundi,2,1148.0,2.0,59.0,574.0
Marathahalli,2,1050.0,2.0,65.0,525.0
Bannerghatta Road,3,1465.0,2.0,76.0,488.3333333333333
Kothanur,4,3401.0,5.0,230.0,850.25
Electronic City,1,630.0,1.0,60.0,630.0
7th Phase JP Nagar,3,1850.0,3.0,150.0,616.6666666666666
Vidyaranyapura,9,1200.0,9.0,175.0,133.33333333333334
Cottonpet,4,1750.0,2.0,225.0,437.5
Shikaripalya,3,1350.0,3.0,60.0,450.0
Sector 7 HSR Layout,3,1760.0,3.0,160.0,586.6666666666666
Rajaji Nagar,2,1440.0,2.0,185.0,720.0
Banashankari Stage III,2,1200.0,2.0,42.0,600.0
Hennur Bande,2,1100.0,2.0,78.0,550.0
Kaggadasapura,2,1140.0,2.0,46.0,570.0
Hormavu,3,1617.5,3.0,73.595,539.1666666666666
Gottigere,2,1410.0,2.0,45.0,705.0
Mahadevpura,3,1434.0,2.0,67.39,478.0
"ravindra nagar, T.dasarahalli peenya",2,1180.0,2.0,74.0,590.0
Begur Road,2,1160.0,2.0,42.0,580.0
EPIP Zone,2,1343.0,2.0,86.0,671.5
LB Shastri Nagar,2,1184.0,2.0,69.0,592.0
Koramangala,3,2246.0,3.0,300.0,748.6666666666666
Rajankunte,3,4510.0,4.0,200.0,1503.3333333333333
Banashankari Stage III,3,1305.0,2.0,59.0,435.0
Sarjapur  Road,4,3785.0,5.0,280.0,946.25
1st Block BEL Layout,3,1540.0,3.0,85.0,513.3333333333334
Kanakpura Road,3,1550.0,3.0,65.11,516.6666666666666
Yelahanka,3,1345.0,2.0,57.0,448.3333333333333
Electronic City Phase II,3,975.0,2.0,45.0,325.0
HSR Layout,2,1140.0,2.0,46.0,570.0
JP Nagar,2,1152.0,2.0,34.56,576.0
Old Airport Road,4,3200.0,4.0,700.0,800.0
Kodathi,3,1033.0,2.0,31.5,344.3333333333333
Richards Town,3,1800.0,3.0,230.0,600.0
Marathahalli,2,1102.0,2.0,53.67,551.0
Subramanyapura,3,1223.0,2.0,42.81,407.6666666666667
Kadugodi,3,1762.0,3.0,112.0,587.3333333333334
Kengeri Satellite Town,2,560.0,2.0,16.6,280.0
KR Puram,6,2000.0,6.0,85.0,333.3333333333333
Electronic City,3,1410.0,2.0,38.0,470.0
Thanisandra,3,1853.0,3.0,64.86,617.6666666666666
Kothanur,2,1455.0,2.0,69.0,727.5
Hebbal,2,1138.0,2.0,110.0,569.0
Sarjapur  Road,3,2556.0,3.0,169.0,852.0
TC Palaya,3,1200.0,2.0,66.5,400.0
Anantapura,2,1200.0,2.0,37.0,600.0
Anekal,2,1200.0,1.0,36.0,600.0
Whitefield,3,1870.0,3.0,138.0,623.3333333333334
Panathur,2,1199.0,2.0,86.0,599.5
Prakruthi Township,6,800.0,8.0,150.0,133.33333333333334
Doddakallasandra,3,1360.0,2.0,54.4,453.3333333333333
Babusapalaya,3,1230.0,3.0,53.0,410.0
Hosahalli Extension,3,2000.0,3.0,120.0,666.6666666666666
Kasturi Nagar,4,1200.0,4.0,250.0,300.0
Kundalahalli,2,1047.0,2.0,83.0,523.5
Electronic City Phase II,4,6000.0,4.0,260.0,1500.0
Ramamurthy Nagar,2,1200.0,2.0,76.0,600.0
Kengeri Satellite Town,2,1302.5,2.0,44.285,651.25
Kengeri,2,725.0,2.0,30.0,362.5
Jakkur,3,1645.0,3.0,100.0,548.3333333333334
Sultan Palaya,2,870.0,2.0,65.0,435.0
Marathahalli,2,1026.0,2.0,49.95,513.0
Bennigana Halli,3,2000.0,3.0,145.0,666.6666666666666
Cooke Town,2,1710.0,2.0,200.0,855.0
Hosur Road,3,1766.0,3.0,130.0,588.6666666666666
Makali,1,500.0,1.0,15.0,500.0
JP Nagar,2,1100.0,1.0,15.0,550.0
Jigani,3,1221.0,3.0,52.0,407.0
Rachenahalli,1,680.0,1.0,46.0,680.0
Sarjapur  Road,2,1278.0,2.0,90.0,639.0
Kodichikkanahalli,2,1025.0,2.0,66.0,512.5
Whitefield,2,1175.0,2.0,39.0,587.5
Sarjapur  Road,2,975.0,2.0,28.275,487.5
6th Phase JP Nagar,1,600.0,1.0,75.0,600.0
Seethappa Layout,2,850.0,2.0,42.0,425.0
Anjanapura,2,710.0,2.0,25.0,355.0
Huskur,2,1165.0,2.0,33.64,582.5
Sarjapur,1,625.0,1.0,19.0,625.0
Kaggadasapura,3,1340.0,3.0,66.0,446.6666666666667
Ananth Nagar,2,937.0,2.0,35.0,468.5
Lakkasandra,7,1500.0,6.0,210.0,214.28571428571428
JP Nagar,1,750.0,1.0,52.5,750.0
Shampura,3,1475.0,3.0,78.0,491.6666666666667
Singapura Village,4,2230.0,4.0,130.0,557.5
Jnanabharathi Layout,4,2200.0,5.0,100.0,550.0
Mysore Road,2,900.0,2.0,65.0,450.0
Electronic City Phase II,2,1116.0,2.0,37.0,558.0
Hoodi,2,948.0,2.0,75.0,474.0
R.T. Nagar,2,970.0,2.0,55.0,485.0
Akshayanagara East,3,1519.0,3.0,67.23,506.3333333333333
Thanisandra,3,1200.0,2.0,65.0,400.0
Bhoganhalli,3,1760.0,3.0,127.0,586.6666666666666
Whitefield,4,4400.0,5.0,525.0,1100.0
Sahakara Nagar,3,1914.0,3.0,179.0,638.0
Budigere,3,1820.0,3.0,85.5,606.6666666666666
Budigere,3,1820.0,3.0,93.0,606.6666666666666
Kalena Agrahara,3,1565.0,3.0,78.0,521.6666666666666
Begur Road,2,1334.0,2.0,42.69,667.0
Sarakki Nagar,2,924.0,2.0,76.23,462.0
Jigani,2,914.0,2.0,49.0,457.0
Kengeri,1,500.0,1.0,17.0,500.0
Yelahanka,3,2145.0,3.0,125.0,715.0
Yelahanka,5,1200.0,5.0,162.0,240.0
Electronic City,3,1650.0,3.0,100.0,550.0
Marathahalli,4,3940.0,4.0,220.0,985.0
Electronic City,2,1020.0,2.0,29.45,510.0
Basaveshwara Nagar,2,1180.0,2.0,58.0,590.0
Ulsoor,2,1255.0,2.0,120.0,627.5
Langford Gardens,3,2777.29,5.0,650.0,925.7633333333333
Bommasandra,2,1014.0,2.0,35.0,507.0
Shampura,4,920.0,2.0,90.0,230.0
Attibele,2,695.0,1.0,25.0,347.5
Prithvi Layout,3,2273.0,4.0,220.0,757.6666666666666
GM Palaya,2,1140.0,2.0,48.95,570.0
Giri Nagar,6,3000.0,4.0,375.0,500.0
Whitefield,2,1180.0,2.0,41.0,590.0
Begur Road,4,2400.0,4.0,152.0,600.0
Attibele,2,850.0,1.0,25.0,425.0
Banashankari,2,1200.0,2.0,60.0,600.0
"Bellandur, ",4,3160.0,4.0,206.0,790.0
Hoodi,3,1769.0,3.0,96.87,589.6666666666666
Bhoganhalli,4,1554.3,4.0,131.0,388.575
Haralur Road,2,1243.0,2.0,46.0,621.5
2nd Block Jayanagar,4,4920.0,5.0,1150.0,1230.0
Mallasandra,2,905.0,2.0,40.0,452.5
Kothanur,1,627.0,1.0,30.0,627.0
Domlur,3,2180.0,3.0,285.0,726.6666666666666
Frazer Town,3,2400.0,3.0,260.0,800.0
Marathahalli,3,1435.0,3.0,73.0,478.3333333333333
Jakkur,4,3405.1,6.0,400.0,851.275
Kodihalli,3,1620.0,3.0,130.0,540.0
Whitefield,3,1862.0,3.0,125.0,620.6666666666666
Kaikondrahalli,2,674.0,1.0,19.9,337.0
Marathahalli,2,1220.0,2.0,59.0,610.0
Haralur Road,2,1027.0,2.0,44.0,513.5
Electronic City,2,1025.0,2.0,49.0,512.5
Thanisandra,3,1430.0,2.0,54.5,476.6666666666667
Panathur,2,1235.0,2.0,65.0,617.5
Electronics City Phase 1,3,1291.0,2.0,32.0,430.3333333333333
Kanakpura Road,3,1498.0,3.0,95.0,499.3333333333333
Sarjapur  Road,3,2180.0,3.0,240.0,726.6666666666666
Electronic City,2,1000.0,2.0,29.7,500.0
Ejipura,2,922.0,2.0,70.0,461.0
Victoria Layout,2,850.0,2.0,72.0,425.0
New Thippasandra,3,750.0,3.0,155.0,250.0
AECS Layout,2,1123.0,2.0,64.0,561.5
Raja Rajeshwari Nagar,2,1235.0,2.0,75.0,617.5
Kogilu,2,1250.0,2.0,55.55,625.0
Whitefield,4,2403.0,5.0,360.0,600.75
Sarjapur  Road,2,984.0,2.0,45.91,492.0
Sarjapur  Road,2,1305.0,2.0,99.0,652.5
Attur Layout,2,1200.0,1.0,65.0,600.0
1st Block HRBR Layout,3,600.0,3.0,90.0,200.0
Hebbal,4,2790.0,5.0,204.0,697.5
Old Madras Road,4,2010.0,3.0,125.0,502.5
Electronics City Phase 1,2,995.0,2.0,42.0,497.5
Varthur Road,2,1277.0,2.0,59.0,638.5
7th Phase JP Nagar,2,1236.0,2.0,61.33,618.0
Akshaya Nagar,2,1265.0,2.0,67.0,632.5
Gubbalala,5,2570.0,4.0,141.0,514.0
Hennur Road,4,2400.0,5.0,390.0,600.0
Shikaripalya,3,1442.0,3.0,56.24,480.6666666666667
Ardendale,2,1224.0,2.0,70.0,612.0
Bellandur,2,1205.0,2.0,59.0,602.5
Richmond Town,2,1233.0,2.0,100.0,616.5
5th Block Hbr Layout,2,1312.0,2.0,69.0,656.0
Electronic City,3,1449.0,3.0,90.0,483.0
Yelenahalli,2,1090.0,2.0,54.0,545.0
Kaggadasapura,5,2100.0,5.0,150.0,420.0
Uttarahalli,3,1390.0,2.0,62.55,463.3333333333333
JP Nagar,2,1200.0,2.0,78.0,600.0
Mallasandra,4,600.0,2.0,50.0,150.0
BTM 2nd Stage,2,1000.0,2.0,58.0,500.0
Devanahalli,4,2400.0,5.0,190.0,600.0
Thanisandra,3,1732.0,3.0,85.73,577.3333333333334
Banashankari,2,1290.0,2.0,80.0,645.0
Marasandra,3,1840.0,3.0,85.0,613.3333333333334
Thanisandra,3,1917.0,4.0,100.0,639.0
Bhuvaneshwari Nagar,2,1100.0,2.0,57.0,550.0
Kudlu,3,1455.0,2.0,60.0,485.0
Old Airport Road,4,2774.0,4.0,208.0,693.5
Haralur Road,5,1200.0,5.0,255.0,240.0
 Devarachikkanahalli,3,1425.0,2.0,65.0,475.0
Whitefield,3,1655.0,3.0,113.0,551.6666666666666
Haralur Road,4,2805.0,5.0,160.0,701.25
R.T. Nagar,7,600.0,7.0,93.0,85.71428571428571
AGS Layout,2,1040.0,2.0,46.79,520.0
Akshaya Nagar,2,1126.0,2.0,55.0,563.0
Kodichikkanahalli,6,1600.0,4.0,200.0,266.6666666666667
Hebbal,2,1250.0,2.0,55.55,625.0
Yelahanka,4,1800.0,4.0,180.0,450.0
Kalkere Channasandra,2,1200.0,2.0,53.0,600.0
Ashirvad Colony,4,2050.0,3.0,100.0,512.5
Whitefield,1,530.0,1.0,29.44,530.0
